School,Unit Name,Lat,Long
University of Alaska Anchorage,Alaskan Graduate Workers Association,61.190163,-149.82619
University of Alaska Fairbanks,Alaskan Graduate Workers Association,64.85756,-147.823146
University of Alaska Southeast,Alaskan Graduate Workers Association,58.384846,-134.638255
Auburn University,United Campus Workers of Alabama at Auburn University,32.599378,-85.488258
Jacksonville State University,United Campus Workers of Alabama,33.822938,-85.765321
Troy University,United Campus Workers of Alabama - Troy University,31.799583,-85.95802
The University of Alabama,United Campus Workers of Alabama - University of Alabama,33.211875,-87.545978
University of Alabama at Birmingham,United Campus Workers of Alabama - Birmingham,33.505697,-86.799345
University of Arkansas,Fayetteville Education Association,36.070009,-94.176981
Arizona State University Campus Immersion,United Campus Workers of Arizona,33.417721,-111.934383
Northern Arizona University,United Campus Workers of Arizona,35.188449,-111.653724
University of Arizona,United Campus Workers of Arizona,32.232672,-110.950815
California State Polytechnic University-Humboldt,Academic Student Workers at the California State University,40.877481,-124.078293
California State Polytechnic University-Pomona,Academic Student Workers at the California State University,34.057912,-117.821476
California Polytechnic State University-San Luis Obispo,Academic Student Workers at the California State University,35.299513,-120.657311
California State University-Channel Islands,Academic Student Workers at the California State University,34.162949,-119.04356
California State University Maritime Academy,Academic Student Workers at the California State University,38.069061,-122.231551
California State University-San Marcos,Academic Student Workers at the California State University,33.130569,-117.159013
California Institute of Technology,CalTech GPU,34.137349,-118.125878
California State University-Bakersfield,Academic Student Workers at the California State University,35.350005,-119.104711
California State University-Chico,Academic Student Workers at the California State University,39.729712,-121.844859
California State University-Dominguez Hills,Academic Student Workers at the California State University,33.864766,-118.255917
California State University-East Bay,Academic Student Workers at the California State University,37.657694,-122.054135
California State University-Fresno,Academic Student Workers at the California State University,36.811154,-119.744569
California State University-Fullerton,Academic Student Workers at the California State University,33.881506,-117.885446
California State University-Long Beach,Academic Student Workers at the California State University,33.782818,-118.11204
California State University-Los Angeles,Academic Student Workers at the California State University,34.066927,-118.168965
California State University-Monterey Bay,Academic Student Workers at the California State University,36.652397,-121.796178
California State University-Northridge,Academic Student Workers at the California State University,34.240126,-118.529319
California State University-Sacramento,Academic Student Workers at the California State University,38.559415,-121.423549
California State University-San Bernardino,Academic Student Workers at the California State University,34.182622,-117.323801
California State University-Stanislaus,Academic Student Workers at the California State University,37.52577,-120.852511
San Diego State University,Academic Student Workers at the California State University,32.77525,-117.071228
San Francisco State University,Academic Student Workers at the California State University,37.721224,-122.476799
San Jose State University,Academic Student Workers at the California State University,37.336569,-121.880621
Sonoma State University,Academic Student Workers at the California State University,38.340274,-122.677066
Stanford University,Stanford Graduate Workers Union,37.429434,-122.167359
University of California-Berkeley,UAW Local 4811,37.871918,-122.260463
University of California-Davis,UAW Local 4811,38.539667,-121.749567
University of California-Irvine,UAW Local 4811,33.648434,-117.841248
University of California-Los Angeles,UAW Local 4811,34.07178,-118.442179
University of California-Merced,UAW Local 4811,37.366237,-120.424944
University of California-Riverside,UAW Local 4811,33.97246,-117.32741
University of California-San Diego,UAW Local 4811,32.877749,-117.235866
University of California-San Francisco,UAW Local 4811,37.763737,-122.458489
University of California-Santa Barbara,UAW Local 4811,34.416297,-119.846426
University of California-Santa Cruz,UAW Local 4811,36.995584,-122.058801
University of Southern California,Graduate Student Worker Organizing Committee,34.021281,-118.284169
Colorado State University-Fort Collins,Graduate Workers Organizing Cooperative,40.574805,-105.080732
University of Colorado Denver/Anschutz Medical Campus,United Campus Workers Colorado,39.745149,-104.837722
University of Colorado Boulder,United Campus Workers Colorado,40.008781,-105.270823
University of Colorado Colorado Springs,United Campus Workers Colorado,38.892735,-104.800296
University of Colorado Denver/Anschutz Medical Campus,United Campus Workers Colorado,39.745149,-104.837722
University of Connecticut,Graduate Employee & Postdoc Union,41.809098,-72.249948
Wesleyan College,OPEIU Local 153,32.876037,-83.715417
Wesleyan College,Wesleyan Union of Student Employees,32.876037,-83.715417
Yale University,Local 33,41.311158,-72.926688
American University,Graduate Student Workers Union,38.936005,-77.088875
George Washington University,Graduate Workers United,38.89923,-77.048363
Georgetown University,Georgetown Alliance of Graduate Employees,38.908809,-77.073463
Florida Agricultural and Mechanical University,Graduate Assistants United,30.428504,-84.290226
Florida State University,Graduate Assistants United,30.443147,-84.295064
University of Florida,Graduate Assistants United,29.64629,-82.347911
University of Miami,Graduate Workers Union,25.72126,-80.278662
University of South Florida,Graduate Assistants United,28.061458,-82.413232
Columbus State University,United Campus Workers of Georgia [44],32.50096,-84.94106
Emory University,EmoryUnite! [50],33.790183,-84.325512
Georgia College & State University,United Campus Workers of Georgia [56],33.082787,-83.231962
Georgia Gwinnett College,United Campus Workers of Georgia [57],33.979409,-84.00459
Georgia Institute of Technology-Main Campus,United Campus Workers of Georgia [58],33.77242,-84.394832
Georgia Southern University,United Campus Workers of Georgia [59],32.426153,-81.784045
Georgia Southwestern State University,United Campus Workers of Georgia [60],32.054662,-84.217738
Georgia State University,United Campus Workers of Georgia [61],33.7527,-84.38667
Georgia State University-Perimeter College,United Campus Workers of Georgia [62],33.7527,-84.38667
Kennesaw State University,United Campus Workers of Georgia [70],34.038807,-84.583052
University of Georgia,United Campus Workers of Georgia [119],33.956262,-83.374039
University of North Georgia,United Campus Workers of Georgia [150],34.530219,-83.985694
University of West Georgia,United Campus Workers of Georgia[164],33.573621,-85.097762
University of Hawaii at Manoa,Academic Labor United [120],21.298598,-157.818979
Grinnell College,Union of Grinnell Student Dining Workers (UGSDW),41.747952,-92.722094
Grinnell College,Union of Grinnell Student Dining Workers (UGSDW),41.747952,-92.722094
Iowa State University,Graduate Student Voices,42.026212,-93.648504
University of Iowa,Campaign to Organize Graduate Students [126],41.661935,-91.536425
University of Iowa,Campaign to Organize Graduate Students [126],41.661935,-91.536425
Illinois State University,Graduate Workers Union [66],40.509403,-88.990058
Loyola University Chicago,Loyola Graduate Workers' Union [74],42.000765,-87.656872
Northwestern University,Northwestern University Graduate Workers [88],42.050356,-87.679858
Southern Illinois University-Carbondale,"Graduate Assistants United,[96][97]",37.714193,-89.217273
Southern Illinois University-Edwardsville,SIUE Graduate Workers Forward (?)[98],38.793949,-89.997779
University of Chicago,Graduate Students United [114],41.787994,-87.599539
University of Chicago,Graduate Students United [114],41.787994,-87.599539
University of Notre Dame,Graduate Workers Collective of Notre Dame,41.703058,-86.238959
