code,name,state,,fips,fips_real,value
us-al-001,"Autauga County, AL",AL,Autauga County,1001,01001,7.1
us-al-003,"Baldwin County, AL",AL,Baldwin County,1003,01003,6.9
us-al-005,"Barbour County, AL",AL,Barbour County,1005,01005,5.8
us-al-007,"Bibb County, AL",AL,Bibb County,1007,01007,5.9
us-al-009,"Blount County, AL",AL,Blount County,1009,01009,5.6
us-al-011,"Bullock County, AL",AL,Bullock County,1011,01011,5.1
us-al-013,"Butler County, AL",AL,Butler County,1013,01013,5.4
us-al-015,"Calhoun County, AL",AL,Calhoun County,1015,01015,5.5
us-al-017,"Chambers County, AL",AL,Chambers County,1017,01017,6
us-al-019,"Cherokee County, AL",AL,Cherokee County,1019,01019,5.7
us-al-021,"Chilton County, AL",AL,Chilton County,1021,01021,5.9
us-al-023,"Choctaw County, AL",AL,Choctaw County,1023,01023,5.5
us-al-025,"Clarke County, AL",AL,Clarke County,1025,01025,5.9
us-al-027,"Clay County, AL",AL,Clay County,1027,01027,6
us-al-029,"Cleburne County, AL",AL,Cleburne County,1029,01029,5.8
us-al-031,"Coffee County, AL",AL,Coffee County,1031,01031,6.2
us-al-033,"Colbert County, AL",AL,Colbert County,1033,01033,6.7
us-al-035,"Conecuh County, AL",AL,Conecuh County,1035,01035,5.6
us-al-037,"Coosa County, AL",AL,Coosa County,1037,01037,6.2
us-al-039,"Covington County, AL",AL,Covington County,1039,01039,5.5
us-al-041,"Crenshaw County, AL",AL,Crenshaw County,1041,01041,6.2
us-al-043,"Cullman County, AL",AL,Cullman County,1043,01043,5.1
us-al-045,"Dale County, AL",AL,Dale County,1045,01045,6.2
us-al-047,"Dallas County, AL",AL,Dallas County,1047,01047,6
us-al-049,"DeKalb County, AL",AL,DeKalb County,1049,01049,5.7
us-al-051,"Elmore County, AL",AL,Elmore County,1051,01051,6.8
us-al-053,"Escambia County, AL",AL,Escambia County,1053,01053,6
us-al-055,"Etowah County, AL",AL,Etowah County,1055,01055,6.1
us-al-057,"Fayette County, AL",AL,Fayette County,1057,01057,6.4
us-al-059,"Franklin County, AL",AL,Franklin County,1059,01059,5
us-al-061,"Geneva County, AL",AL,Geneva County,1061,01061,5.7
us-al-063,"Greene County, AL",AL,Greene County,1063,01063,4.7
us-al-065,"Hale County, AL",AL,Hale County,1065,01065,5.4
us-al-067,"Henry County, AL",AL,Henry County,1067,01067,6.1
us-al-069,"Houston County, AL",AL,Houston County,1069,01069,6.1
us-al-071,"Jackson County, AL",AL,Jackson County,1071,01071,6.4
us-al-073,"Jefferson County, AL",AL,Jefferson County,1073,01073,6.5
us-al-075,"Lamar County, AL",AL,Lamar County,1075,01075,5.4
us-al-077,"Lauderdale County, AL",AL,Lauderdale County,1077,01077,5.7
us-al-079,"Lawrence County, AL",AL,Lawrence County,1079,01079,5.5
us-al-081,"Lee County, AL",AL,Lee County,1081,01081,6.1
us-al-083,"Limestone County, AL",AL,Limestone County,1083,01083,6.6
us-al-085,"Lowndes County, AL",AL,Lowndes County,1085,01085,5.5
us-al-087,"Macon County, AL",AL,Macon County,1087,01087,6.2
