"Organization Name",Address,"Petition File Date","Vote Count Date",Notes,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"Kentucky (KY) : Holiday Manor - 2663","4942 US Highway 42, Louisville KY 40222-6369",7/3/2024,7/22/2024,,38.283747,-85.63249,1,range_interpolation,4942,US-42,,,Louisville,KY,"Jefferson County",40222,US,"TIGER/Line® dataset from the US Census Bureau"
"Pennsylvania (PA) : PJB PA : 16th & Walnut - #753","1528 Walnut St, Philadelphia PA 19102-3604",7/10/2024,7/22/2024,,39.949521,-75.166852,1,range_interpolation,1528,"Walnut St",,,Philadelphia,PA,"Philadelphia County",19102,US,"TIGER/Line® dataset from the US Census Bureau"
"West Virginia (WV) : Flatwoods Factory Stores - 48007","23 Skidmore Ln, Sutton WV 26601-9327",7/8/2024,7/19/2024,,38.704125,-80.665933,1,rooftop,23,"Skidmore Ln",,,Sutton,WV,"Braxton County",26601,US,"Statewide WV"
"Utah (UT) : Woods Cross - 2600 S and I-15 - 28132","616 W 2600 S, Woods Cross UT 84010-8190",7/5/2024,7/18/2024,,40.86197,-111.898086,1,rooftop,616,"W 2600 S",,,"Woods Cross",UT,"Davis County",84010,US,"Utah AGRC (and individual UT counties)"
"Pennsylvania (PA) : PA JB : Mall at Robinson Level 1 - 7733","100 Robinson Center Dr # K-5, Pittsburgh PA 15205-4831",7/8/2024,7/18/2024,,40.454484,-80.157053,1,rooftop,100,"Robinson Centre Dr",,"K 5",Pittsburgh,PA,"Allegheny County",15205,US,Allegheny
"New York (NY) : 32BJ : Broadway & Canal - 11934","405 Broadway, New York NY 10013-3558",7/3/2024,7/17/2024,,40.718903,-74.002495,1,rooftop,405,Broadway,,,"New York",NY,"New York County",10013,US,"City of New York"
"Arizona (AZ) : Pickup - Speedway & Park - 65352","910 E Speedway Blvd 130, Tucson, AZ 85719",7/1/2024,7/17/2024,,32.235771,-110.957663,1,rooftop,910,"E Speedway Blvd",,130,Tucson,AZ,"Pima County",85719,US,Pima
"Indiana (IN) : Mass. Ave. - 2551","430 Massachusetts Ave, Indianapolis IN 46204-1528",7/2/2024,7/17/2024,,39.773412,-86.151904,1,rooftop,430,"Massachusetts Ave",,,Indianapolis,IN,"Marion County",46204,US,"Marion County"
"Georgia (GA) : Holcomb Bridge & Holcomb Woods Pkwy - 8207","1570 Holcomb Bridge Rd Ste 900, Roswell GA 30076-2552",7/2/2024,7/16/2024,,34.019981,-84.314306,1,rooftop,1570,"Holcomb Bridge Rd",Ste,900,Roswell,GA,"Fulton County",30076,US,"City of Roswell"
"Ohio (OH) : Anderson - Beechmont & Five Mile - 47095","7412 Beechmont Ave, Cincinnati OH 45255-4102",7/2/2024,7/15/2024,,39.073709,-84.350142,1,rooftop,7412,"Beechmont Ave",,,Cincinnati,OH,"Hamilton County",45255,US,Hamilton
